Kategorie: Alle Kategorien

Tag,iPhone: (Deutschland),Tesla: (Deutschland),Rolex: (Deutschland)
2017-11-14,57,4,3
2017-11-15,61,5,3
2017-11-16,62,6,3
2017-11-17,63,22,3
2017-11-18,73,11,3
2017-11-19,73,7,3
2017-11-20,60,7,2
2017-11-21,59,7,3
2017-11-22,61,7,3
2017-11-23,62,6,3
2017-11-24,73,5,3
2017-11-25,72,5,4
2017-11-26,72,5,3
2017-11-27,64,5,3
2017-11-28,58,4,3
2017-11-29,57,5,3
2017-11-30,59,5,3
2017-12-01,56,6,3
2017-12-02,80,5,3
2017-12-03,73,5,4
2017-12-04,58,6,3
2017-12-05,58,5,3
2017-12-06,60,5,3
2017-12-07,61,4,3
2017-12-08,61,4,3
2017-12-09,68,4,4
2017-12-10,67,4,4
2017-12-11,58,4,3
2017-12-12,56,4,3
2017-12-13,57,4,3
2017-12-14,57,4,3
2017-12-15,59,4,3
2017-12-16,65,4,4
2017-12-17,70,4,4
2017-12-18,57,5,3
2017-12-19,58,4,3
2017-12-20,58,4,3
2017-12-21,61,4,3
2017-12-22,61,5,4
2017-12-23,69,6,4
2017-12-24,90,5,6
2017-12-25,100,5,5
2017-12-26,83,5,5
2017-12-27,70,5,3
2017-12-28,68,4,3
2017-12-29,73,4,3
2017-12-30,68,4,3
2017-12-31,58,3,4
2018-01-01,67,4,3
2018-01-02,63,4,3
2018-01-03,57,4,3
2018-01-04,60,7,3
2018-01-05,56,4,3
2018-01-06,61,4,4
2018-01-07,61,4,3
2018-01-08,53,5,3
2018-01-09,53,5,3
2018-01-10,51,4,3
2018-01-11,54,4,3
2018-01-12,53,4,3
2018-01-13,60,4,3
2018-01-14,56,4,3
2018-01-15,50,3,3
2018-01-16,50,4,3
2018-01-17,51,4,3
2018-01-18,49,4,3
2018-01-19,49,4,3
2018-01-20,65,3,4
2018-01-21,57,3,3
2018-01-22,47,3,2
2018-01-23,49,4,3
2018-01-24,50,4,3
2018-01-25,47,4,3
2018-01-26,50,5,3
2018-01-27,57,4,4
2018-01-28,53,4,4
2018-01-29,45,4,3
2018-01-30,48,4,3
2018-01-31,46,4,3
2018-02-01,47,4,3
2018-02-02,46,4,3
2018-02-03,53,4,3
2018-02-04,52,3,3
2018-02-05,49,4,3
2018-02-06,45,8,3
2018-02-07,46,13,3
2018-02-08,45,11,3
2018-02-09,44,8,3
2018-02-10,51,6,3
2018-02-11,52,5,3
2018-02-12,45,5,2
2018-02-13,45,5,2
2018-02-14,43,5,2
2018-02-15,43,4,3
2018-02-16,45,4,3
2018-02-17,60,4,3
2018-02-18,55,4,3
2018-02-19,43,4,2
2018-02-20,45,4,2
2018-02-21,44,4,3
2018-02-22,45,4,3
2018-02-23,44,4,3
2018-02-24,55,4,3
2018-02-25,55,4,3
2018-02-26,47,4,3
2018-02-27,48,4,2
2018-02-28,49,4,3
2018-03-01,48,4,2
2018-03-02,47,4,3
2018-03-03,55,4,4
2018-03-04,52,4,3
2018-03-05,42,4,3
2018-03-06,43,4,2
2018-03-07,44,4,3
2018-03-08,44,4,3
2018-03-09,46,4,3
2018-03-10,50,4,3
2018-03-11,48,4,3
2018-03-12,44,4,2
2018-03-13,42,4,2
2018-03-14,43,4,3
2018-03-15,43,4,2
2018-03-16,44,4,3
2018-03-17,50,3,3
2018-03-18,49,4,3
2018-03-19,42,3,2
2018-03-20,44,4,3
2018-03-21,44,4,4
2018-03-22,44,4,4
2018-03-23,46,4,3
2018-03-24,55,4,4
2018-03-25,50,4,4
2018-03-26,43,4,3
2018-03-27,46,4,3
2018-03-28,46,7,3
2018-03-29,44,7,3
2018-03-30,51,9,4
2018-03-31,48,5,4
2018-04-01,56,5,4
2018-04-02,50,8,3
2018-04-03,44,10,3
2018-04-04,45,6,3
2018-04-05,42,5,3
2018-04-06,42,5,3
2018-04-07,43,4,3
2018-04-08,45,4,3
2018-04-09,42,4,2
2018-04-10,43,4,3
2018-04-11,43,4,3
2018-04-12,42,4,2
2018-04-13,43,4,3
2018-04-14,48,3,3
2018-04-15,48,3,3
2018-04-16,42,4,2
2018-04-17,40,6,3
2018-04-18,40,5,3
2018-04-19,41,4,3
2018-04-20,39,4,3
2018-04-21,44,3,4
2018-04-22,46,4,3
2018-04-23,42,4,3
2018-04-24,42,4,3
2018-04-25,41,3,3
2018-04-26,44,3,2
2018-04-27,42,4,3
2018-04-28,48,3,3
2018-04-29,50,3,3
2018-04-30,42,4,3
2018-05-01,47,3,3
2018-05-02,43,4,3
2018-05-03,43,8,3
2018-05-04,44,5,3
2018-05-05,47,4,3
2018-05-06,48,4,3
2018-05-07,42,4,3
2018-05-08,43,4,3
2018-05-09,40,4,3
2018-05-10,49,4,4
2018-05-11,44,4,3
2018-05-12,42,3,3
2018-05-13,46,3,3
2018-05-14,42,4,2
2018-05-15,48,7,2
2018-05-16,46,6,3
2018-05-17,42,4,3
2018-05-18,43,4,3
2018-05-19,45,3,3
2018-05-20,47,4,4
2018-05-21,46,4,4
2018-05-22,42,5,3
2018-05-23,43,4,3
2018-05-24,41,4,3
2018-05-25,42,4,3
2018-05-26,43,3,3
2018-05-27,46,3,4
2018-05-28,39,3,3
2018-05-29,40,4,3
2018-05-30,41,4,3
2018-05-31,44,4,3
2018-06-01,44,4,3
2018-06-02,48,3,3
2018-06-03,45,3,3
2018-06-04,46,3,2
2018-06-05,43,4,3
2018-06-06,44,5,2
2018-06-07,42,5,3
2018-06-08,41,4,3
2018-06-09,45,4,3
2018-06-10,49,3,4
2018-06-11,45,3,3
2018-06-12,41,5,3
2018-06-13,45,6,3
2018-06-14,44,4,3
