"","date","hits","keyword","geo","time","gprop","category"
"1",2017-12-31,77,"Rolex","world","2018-01-01 2018-12-31","web",0
"2",2018-01-07,75,"Rolex","world","2018-01-01 2018-12-31","web",0
"3",2018-01-14,77,"Rolex","world","2018-01-01 2018-12-31","web",0
"4",2018-01-21,79,"Rolex","world","2018-01-01 2018-12-31","web",0
"5",2018-01-28,81,"Rolex","world","2018-01-01 2018-12-31","web",0
"6",2018-02-04,68,"Rolex","world","2018-01-01 2018-12-31","web",0
"7",2018-02-11,72,"Rolex","world","2018-01-01 2018-12-31","web",0
"8",2018-02-18,70,"Rolex","world","2018-01-01 2018-12-31","web",0
"9",2018-02-25,68,"Rolex","world","2018-01-01 2018-12-31","web",0
"10",2018-03-04,71,"Rolex","world","2018-01-01 2018-12-31","web",0
"11",2018-03-11,70,"Rolex","world","2018-01-01 2018-12-31","web",0
"12",2018-03-18,83,"Rolex","world","2018-01-01 2018-12-31","web",0
"13",2018-03-25,81,"Rolex","world","2018-01-01 2018-12-31","web",0
"14",2018-04-01,71,"Rolex","world","2018-01-01 2018-12-31","web",0
"15",2018-04-08,67,"Rolex","world","2018-01-01 2018-12-31","web",0
"16",2018-04-15,73,"Rolex","world","2018-01-01 2018-12-31","web",0
"17",2018-04-22,70,"Rolex","world","2018-01-01 2018-12-31","web",0
"18",2018-04-29,70,"Rolex","world","2018-01-01 2018-12-31","web",0
"19",2018-05-06,71,"Rolex","world","2018-01-01 2018-12-31","web",0
"20",2018-05-13,69,"Rolex","world","2018-01-01 2018-12-31","web",0
"21",2018-05-20,72,"Rolex","world","2018-01-01 2018-12-31","web",0
"22",2018-05-27,72,"Rolex","world","2018-01-01 2018-12-31","web",0
"23",2018-06-03,72,"Rolex","world","2018-01-01 2018-12-31","web",0
"24",2018-06-10,73,"Rolex","world","2018-01-01 2018-12-31","web",0
"25",2018-06-17,69,"Rolex","world","2018-01-01 2018-12-31","web",0
"26",2018-06-24,68,"Rolex","world","2018-01-01 2018-12-31","web",0
"27",2018-07-01,71,"Rolex","world","2018-01-01 2018-12-31","web",0
"28",2018-07-08,72,"Rolex","world","2018-01-01 2018-12-31","web",0
"29",2018-07-15,73,"Rolex","world","2018-01-01 2018-12-31","web",0
"30",2018-07-22,74,"Rolex","world","2018-01-01 2018-12-31","web",0
"31",2018-07-29,75,"Rolex","world","2018-01-01 2018-12-31","web",0
"32",2018-08-05,80,"Rolex","world","2018-01-01 2018-12-31","web",0
"33",2018-08-12,76,"Rolex","world","2018-01-01 2018-12-31","web",0
"34",2018-08-19,72,"Rolex","world","2018-01-01 2018-12-31","web",0
"35",2018-08-26,77,"Rolex","world","2018-01-01 2018-12-31","web",0
"36",2018-09-02,73,"Rolex","world","2018-01-01 2018-12-31","web",0
"37",2018-09-09,74,"Rolex","world","2018-01-01 2018-12-31","web",0
"38",2018-09-16,72,"Rolex","world","2018-01-01 2018-12-31","web",0
"39",2018-09-23,69,"Rolex","world","2018-01-01 2018-12-31","web",0
"40",2018-09-30,68,"Rolex","world","2018-01-01 2018-12-31","web",0
"41",2018-10-07,71,"Rolex","world","2018-01-01 2018-12-31","web",0
"42",2018-10-14,73,"Rolex","world","2018-01-01 2018-12-31","web",0
"43",2018-10-21,74,"Rolex","world","2018-01-01 2018-12-31","web",0
"44",2018-10-28,84,"Rolex","world","2018-01-01 2018-12-31","web",0
"45",2018-11-04,73,"Rolex","world","2018-01-01 2018-12-31","web",0
"46",2018-11-11,71,"Rolex","world","2018-01-01 2018-12-31","web",0
"47",2018-11-18,75,"Rolex","world","2018-01-01 2018-12-31","web",0
"48",2018-11-25,77,"Rolex","world","2018-01-01 2018-12-31","web",0
"49",2018-12-02,76,"Rolex","world","2018-01-01 2018-12-31","web",0
"50",2018-12-09,79,"Rolex","world","2018-01-01 2018-12-31","web",0
"51",2018-12-16,82,"Rolex","world","2018-01-01 2018-12-31","web",0
"52",2018-12-23,100,"Rolex","world","2018-01-01 2018-12-31","web",0
"53",2018-12-30,77,"Rolex","world","2018-01-01 2018-12-31","web",0
