Kategorie: Alle Kategorien

Tag,Donald Trump: (Australien),Kendrick Lamar: (Australien),Tesla: (Australien),NBA: (Australien),amazon: (Australien)
2017-11-14,7,<1,2,27,11
2017-11-15,8,<1,2,23,10
2017-11-16,9,<1,2,33,11
2017-11-17,8,<1,10,27,11
2017-11-18,5,<1,8,28,13
2017-11-19,4,<1,6,27,14
2017-11-20,4,<1,5,20,13
2017-11-21,4,<1,5,24,18
2017-11-22,4,<1,4,19,42
2017-11-23,4,<1,3,27,100
2017-11-24,3,<1,3,15,68
2017-11-25,3,<1,3,24,40
2017-11-26,5,<1,3,22,32
2017-11-27,3,<1,3,15,25
2017-11-28,4,<1,2,24,21
2017-11-29,5,<1,3,20,19
2017-11-30,4,<1,3,24,17
2017-12-01,6,<1,3,23,17
2017-12-02,9,<1,3,21,18
2017-12-03,10,<1,3,21,18
2017-12-04,9,<1,2,20,70
2017-12-05,8,<1,2,20,95
2017-12-06,11,<1,2,19,38
2017-12-07,11,<1,2,21,26
2017-12-08,10,<1,2,24,24
2017-12-09,10,<1,2,23,25
2017-12-10,9,<1,2,23,22
2017-12-11,8,<1,2,17,19
2017-12-12,8,<1,2,19,18
2017-12-13,11,<1,2,21,16
2017-12-14,8,<1,2,20,16
2017-12-15,7,<1,2,22,16
2017-12-16,7,<1,2,24,17
2017-12-17,7,<1,2,21,17
2017-12-18,6,<1,2,15,14
2017-12-19,6,<1,2,23,14
2017-12-20,7,<1,2,18,13
2017-12-21,8,<1,2,21,13
2017-12-22,8,<1,2,23,12
2017-12-23,7,1,2,25,14
2017-12-24,8,<1,3,24,13
2017-12-25,8,<1,3,23,22
2017-12-26,7,<1,2,23,22
2017-12-27,6,<1,2,18,16
2017-12-28,6,<1,2,24,15
2017-12-29,7,<1,2,21,14
2017-12-30,7,1,2,20,13
2017-12-31,7,1,2,20,12
2018-01-01,7,<1,2,17,14
2018-01-02,6,<1,2,16,13
2018-01-03,10,<1,2,20,13
2018-01-04,10,<1,2,25,14
2018-01-05,11,1,2,21,13
2018-01-06,13,<1,3,24,14
2018-01-07,13,<1,2,18,13
2018-01-08,10,<1,2,16,12
2018-01-09,10,<1,2,18,13
2018-01-10,9,<1,2,18,12
2018-01-11,8,<1,2,22,12
2018-01-12,15,<1,2,19,12
2018-01-13,15,<1,3,21,12
2018-01-14,12,<1,2,18,12
2018-01-15,9,<1,2,15,11
2018-01-16,8,<1,2,21,11
2018-01-17,9,<1,2,16,11
2018-01-18,9,<1,2,19,11
2018-01-19,8,<1,2,20,11
2018-01-20,12,<1,2,20,11
2018-01-21,11,<1,2,21,12
2018-01-22,8,<1,2,13,11
2018-01-23,7,<1,2,17,10
2018-01-24,7,<1,2,21,11
2018-01-25,8,<1,3,19,10
2018-01-26,10,1,3,20,11
2018-01-27,9,7,2,21,11
2018-01-28,7,2,2,20,12
2018-01-29,8,4,2,15,11
2018-01-30,8,1,2,18,11
2018-01-31,11,1,2,20,10
2018-02-01,8,1,2,20,11
2018-02-02,8,1,2,20,11
2018-02-03,9,1,2,22,13
2018-02-04,8,1,3,28,12
2018-02-05,7,<1,3,12,10
2018-02-06,8,<1,4,18,11
2018-02-07,8,1,8,24,10
2018-02-08,9,1,6,28,10
2018-02-09,8,1,5,25,10
2018-02-10,8,1,4,23,10
2018-02-11,6,1,4,24,10
2018-02-12,6,1,3,18,10
2018-02-13,6,1,3,20,10
2018-02-14,6,1,2,22,10
2018-02-15,8,1,2,23,10
2018-02-16,7,1,3,18,9
2018-02-17,9,1,3,17,11
2018-02-18,9,1,2,18,11
2018-02-19,8,1,3,25,9
2018-02-20,7,1,2,8,10
2018-02-21,8,1,2,8,10
2018-02-22,10,1,2,9,10
2018-02-23,9,1,2,21,10
2018-02-24,9,1,3,20,10
2018-02-25,8,1,2,22,11
2018-02-26,7,<1,2,16,10
2018-02-27,8,1,2,19,11
2018-02-28,6,1,2,19,13
2018-03-01,8,1,2,19,12
2018-03-02,8,1,2,21,11
2018-03-03,8,1,2,20,12
2018-03-04,8,1,2,22,12
2018-03-05,7,<1,2,16,10
2018-03-06,8,<1,2,19,10
2018-03-07,8,<1,2,22,11
2018-03-08,9,<1,2,21,11
2018-03-09,9,<1,2,21,9
2018-03-10,8,1,2,22,12
2018-03-11,7,<1,2,19,12
2018-03-12,7,<1,2,17,11
2018-03-13,8,<1,2,17,10
2018-03-14,8,<1,2,19,10
2018-03-15,8,<1,2,18,10
2018-03-16,8,<1,2,22,10
2018-03-17,9,<1,2,20,11
2018-03-18,8,<1,2,21,10
2018-03-19,8,<1,2,17,10
2018-03-20,8,<1,2,20,10
2018-03-21,8,<1,2,19,11
2018-03-22,8,<1,2,19,10
2018-03-23,10,<1,2,19,9
2018-03-24,8,<1,2,20,11
2018-03-25,9,<1,2,18,11
2018-03-26,11,<1,2,17,10
2018-03-27,8,<1,2,18,10
2018-03-28,8,<1,2,20,10
2018-03-29,7,<1,2,20,9
2018-03-30,6,<1,3,18,10
2018-03-31,6,<1,2,21,10
2018-04-01,8,1,2,18,11
2018-04-02,8,<1,3,16,11
2018-04-03,7,<1,3,13,10
2018-04-04,7,<1,2,21,10
2018-04-05,7,<1,2,19,10
2018-04-06,8,<1,2,20,9
2018-04-07,7,<1,2,22,10
2018-04-08,8,<1,2,19,9
2018-04-09,7,<1,2,16,10
2018-04-10,9,1,2,19,10
2018-04-11,11,2,2,21,10
2018-04-12,10,1,2,27,9
2018-04-13,9,<1,2,11,9
2018-04-14,16,1,2,17,9
2018-04-15,10,1,2,35,10
2018-04-16,9,1,2,25,9
2018-04-17,8,2,2,35,10
2018-04-18,8,1,2,30,9
2018-04-19,7,1,2,33,10
2018-04-20,7,1,2,31,9
2018-04-21,7,1,2,31,10
2018-04-22,7,1,2,32,10
2018-04-23,7,1,2,29,9
2018-04-24,6,<1,2,33,10
2018-04-25,8,2,2,39,11
2018-04-26,8,8,2,39,10
2018-04-27,10,4,2,26,10
2018-04-28,9,3,2,38,11
2018-04-29,8,6,2,41,11
2018-04-30,7,19,2,20,10
2018-05-01,7,3,2,28,10
2018-05-02,7,2,2,41,9
2018-05-03,8,1,3,31,10
2018-05-04,8,1,3,35,9
2018-05-05,8,1,3,33,11
2018-05-06,8,1,2,35,10
2018-05-07,8,1,2,29,10
2018-05-08,9,1,2,36,10
2018-05-09,8,1,2,39,10
2018-05-10,8,1,2,33,11
2018-05-11,7,1,2,13,10
2018-05-12,7,1,2,10,11
2018-05-13,6,1,2,21,11
2018-05-14,7,1,2,19,10
2018-05-15,7,<1,2,36,10
2018-05-16,7,1,2,42,9
2018-05-17,7,1,2,34,9
2018-05-18,6,1,2,18,9
2018-05-19,7,1,2,14,9
2018-05-20,6,1,2,29,9
2018-05-21,7,1,2,27,9
2018-05-22,6,1,2,33,9
2018-05-23,7,2,2,36,9
2018-05-24,7,1,2,34,9
2018-05-25,8,1,2,40,8
2018-05-26,7,1,2,35,9
2018-05-27,7,1,2,44,9
2018-05-28,6,1,2,62,9
2018-05-29,6,1,2,61,8
2018-05-30,7,1,2,14,9
2018-05-31,8,1,2,17,16
2018-06-01,7,1,2,76,11
2018-06-02,6,1,2,17,12
2018-06-03,7,1,2,25,13
2018-06-04,7,<1,2,52,11
2018-06-05,7,<1,2,16,10
2018-06-06,7,1,2,19,10
2018-06-07,7,1,2,58,10
2018-06-08,8,<1,2,17,11
2018-06-09,8,1,2,61,11
