Kategorie: Alle Kategorien

Tag,Donald Trump: (Vereinigtes Königreich),Kendrick Lamar: (Vereinigtes Königreich),Tesla: (Vereinigtes Königreich),NBA: (Vereinigtes Königreich),amazon: (Vereinigtes Königreich)
2017-11-14,4,<1,1,2,54
2017-11-15,5,<1,1,2,58
2017-11-16,5,<1,1,2,53
2017-11-17,4,<1,8,2,69
2017-11-18,3,<1,4,2,64
2017-11-19,2,<1,2,2,75
2017-11-20,2,<1,2,2,64
2017-11-21,2,<1,2,2,62
2017-11-22,2,<1,2,2,66
2017-11-23,3,<1,2,2,71
2017-11-24,2,<1,1,2,100
2017-11-25,2,<1,1,2,69
2017-11-26,2,<1,1,2,75
2017-11-27,2,<1,1,1,70
2017-11-28,3,<1,1,2,62
2017-11-29,6,<1,1,2,63
2017-11-30,6,<1,1,2,62
2017-12-01,7,<1,2,2,59
2017-12-02,6,<1,1,2,61
2017-12-03,6,<1,1,2,70
2017-12-04,5,<1,1,2,63
2017-12-05,5,<1,1,2,66
2017-12-06,7,<1,1,2,64
2017-12-07,7,<1,1,2,62
2017-12-08,5,<1,1,2,59
2017-12-09,5,<1,1,2,66
2017-12-10,5,<1,1,2,67
2017-12-11,4,<1,1,1,67
2017-12-12,5,<1,1,2,67
2017-12-13,5,<1,1,2,65
2017-12-14,4,<1,1,2,64
2017-12-15,4,<1,1,2,61
2017-12-16,4,<1,1,2,65
2017-12-17,4,<1,1,2,70
2017-12-18,4,<1,1,2,66
2017-12-19,4,<1,1,2,65
2017-12-20,4,<1,1,2,64
2017-12-21,5,<1,1,2,57
2017-12-22,4,<1,1,2,51
2017-12-23,4,<1,1,2,46
2017-12-24,4,<1,1,2,41
2017-12-25,5,<1,1,4,66
2017-12-26,4,<1,1,2,70
2017-12-27,3,<1,1,2,60
2017-12-28,4,<1,1,2,59
2017-12-29,4,<1,1,2,56
2017-12-30,3,<1,1,2,50
2017-12-31,4,<1,1,2,44
2018-01-01,4,<1,1,2,47
2018-01-02,3,<1,1,2,49
2018-01-03,5,<1,1,2,47
2018-01-04,6,<1,1,2,46
2018-01-05,7,<1,1,2,45
2018-01-06,9,<1,1,2,47
2018-01-07,6,<1,1,2,46
2018-01-08,5,<1,1,2,41
2018-01-09,6,<1,1,2,43
2018-01-10,4,<1,1,2,42
2018-01-11,4,<1,1,3,41
2018-01-12,15,<1,1,2,40
2018-01-13,11,<1,1,2,45
2018-01-14,6,<1,1,2,44
2018-01-15,5,<1,1,2,40
2018-01-16,6,<1,1,2,41
2018-01-17,5,<1,1,1,42
2018-01-18,5,<1,1,2,40
2018-01-19,5,<1,1,2,39
2018-01-20,6,<1,1,2,43
2018-01-21,5,<1,1,2,45
2018-01-22,4,<1,1,1,43
2018-01-23,4,<1,1,2,41
2018-01-24,4,<1,1,2,40
2018-01-25,5,<1,1,2,43
2018-01-26,5,<1,1,2,41
2018-01-27,5,<1,1,2,43
2018-01-28,6,<1,1,2,45
2018-01-29,6,1,1,2,44
2018-01-30,4,<1,1,2,41
2018-01-31,5,<1,1,2,38
2018-02-01,4,<1,1,2,42
2018-02-02,4,<1,1,2,40
2018-02-03,4,<1,1,2,43
2018-02-04,4,<1,1,2,44
2018-02-05,4,<1,1,1,40
2018-02-06,5,<1,2,2,42
2018-02-07,4,1,4,2,43
2018-02-08,5,1,3,3,39
2018-02-09,4,1,2,2,40
2018-02-10,4,1,2,2,41
2018-02-11,3,1,2,3,43
2018-02-12,4,1,2,2,40
2018-02-13,3,1,1,2,38
2018-02-14,3,1,1,2,38
2018-02-15,4,1,1,2,39
2018-02-16,5,1,1,2,38
2018-02-17,4,<1,1,2,37
2018-02-18,5,<1,1,2,43
2018-02-19,4,<1,1,3,38
2018-02-20,4,1,1,1,39
2018-02-21,4,3,1,1,39
2018-02-22,5,2,1,1,40
2018-02-23,4,1,1,2,39
2018-02-24,4,1,1,2,42
2018-02-25,3,<1,1,2,44
2018-02-26,3,<1,1,1,40
2018-02-27,4,<1,1,2,39
2018-02-28,3,<1,1,1,36
2018-03-01,3,<1,1,1,34
2018-03-02,4,<1,1,2,38
2018-03-03,4,<1,1,2,42
2018-03-04,4,<1,1,2,44
2018-03-05,3,<1,1,1,40
2018-03-06,4,<1,1,2,41
2018-03-07,4,<1,1,2,41
2018-03-08,4,<1,1,2,41
2018-03-09,5,<1,1,2,39
2018-03-10,3,<1,1,2,39
2018-03-11,3,<1,1,2,42
2018-03-12,3,<1,1,2,40
2018-03-13,4,<1,1,2,38
2018-03-14,4,<1,1,2,38
2018-03-15,4,<1,1,1,38
2018-03-16,4,<1,1,2,38
2018-03-17,4,<1,1,2,38
2018-03-18,4,<1,1,2,41
2018-03-19,4,<1,1,2,40
2018-03-20,4,<1,1,2,40
2018-03-21,4,<1,1,2,40
2018-03-22,5,<1,1,2,41
2018-03-23,5,<1,1,2,38
2018-03-24,4,<1,1,2,43
2018-03-25,4,<1,1,2,45
2018-03-26,5,<1,1,2,41
2018-03-27,4,<1,1,2,43
2018-03-28,4,<1,1,2,41
2018-03-29,4,<1,1,2,38
2018-03-30,3,<1,1,2,38
2018-03-31,3,<1,1,2,37
2018-04-01,3,<1,1,2,39
2018-04-02,4,<1,2,2,42
2018-04-03,3,<1,1,1,38
2018-04-04,3,<1,1,2,39
2018-04-05,3,<1,1,2,37
2018-04-06,3,<1,1,2,38
2018-04-07,3,<1,1,2,38
2018-04-08,4,<1,1,2,43
2018-04-09,4,<1,1,2,37
2018-04-10,5,<1,1,2,39
2018-04-11,7,<1,1,2,38
2018-04-12,6,<1,1,3,39
2018-04-13,5,<1,1,1,37
2018-04-14,6,<1,1,3,34
2018-04-15,4,<1,1,5,41
2018-04-16,5,<1,1,3,39
2018-04-17,4,1,1,3,38
2018-04-18,4,<1,1,3,36
2018-04-19,4,<1,1,3,38
2018-04-20,4,<1,1,3,36
2018-04-21,3,<1,1,4,35
2018-04-22,3,<1,1,5,40
2018-04-23,3,<1,1,3,38
2018-04-24,4,<1,1,3,39
2018-04-25,4,<1,1,3,39
2018-04-26,5,<1,1,3,37
2018-04-27,5,<1,1,3,37
2018-04-28,4,<1,1,4,44
2018-04-29,4,<1,1,5,43
2018-04-30,4,<1,1,2,40
2018-05-01,3,<1,1,2,40
2018-05-02,4,<1,1,3,41
2018-05-03,5,<1,2,3,38
2018-05-04,4,<1,1,3,37
2018-05-05,4,<1,1,4,38
2018-05-06,4,<1,1,5,38
2018-05-07,4,<1,1,3,40
2018-05-08,5,<1,1,3,38
2018-05-09,5,<1,1,3,39
2018-05-10,4,<1,1,2,39
2018-05-11,4,<1,1,1,37
2018-05-12,3,<1,1,2,37
2018-05-13,3,<1,1,3,39
2018-05-14,3,<1,1,2,39
2018-05-15,3,<1,1,3,39
2018-05-16,3,<1,1,3,38
2018-05-17,4,<1,1,3,37
2018-05-18,4,<1,1,2,36
2018-05-19,4,<1,1,2,31
2018-05-20,3,<1,1,3,40
2018-05-21,3,<1,1,3,36
2018-05-22,3,<1,1,3,38
2018-05-23,3,<1,1,3,39
2018-05-24,4,<1,1,3,39
2018-05-25,4,<1,1,3,37
2018-05-26,3,<1,1,4,38
2018-05-27,3,<1,1,4,38
2018-05-28,3,<1,1,5,39
2018-05-29,3,<1,1,4,39
2018-05-30,3,<1,1,2,38
2018-05-31,4,<1,1,2,39
2018-06-01,4,<1,1,5,38
2018-06-02,3,<1,1,2,39
2018-06-03,3,<1,1,3,41
2018-06-04,3,<1,1,4,40
2018-06-05,3,<1,1,2,40
2018-06-06,3,<1,1,2,41
2018-06-07,4,<1,1,4,43
2018-06-08,4,<1,1,2,41
2018-06-09,4,<1,1,6,40
2018-06-10,6,<1,1,1,45
2018-06-11,6,<1,1,1,40
2018-06-12,10,<1,1,1,40
2018-06-13,5,<1,1,1,40
2018-06-14,5,<1,1,1,40
