Kategorie: Alle Kategorien

Tag,Donald Trump: (Vereinigte Staaten),Kendrick Lamar: (Vereinigte Staaten),Tesla: (Vereinigte Staaten),NBA: (Vereinigte Staaten),amazon: (Vereinigte Staaten)
2017-11-14,13,<1,2,17,49
2017-11-15,16,<1,2,15,51
2017-11-16,18,<1,3,17,49
2017-11-17,13,<1,16,18,52
2017-11-18,8,<1,9,18,53
2017-11-19,8,<1,5,17,57
2017-11-20,8,<1,5,13,56
2017-11-21,9,<1,4,17,56
2017-11-22,10,<1,4,14,53
2017-11-23,9,<1,4,24,65
2017-11-24,7,<1,3,13,98
2017-11-25,7,<1,3,18,75
2017-11-26,8,<1,3,17,74
2017-11-27,8,<1,3,11,100
2017-11-28,10,<1,3,17,74
2017-11-29,12,<1,2,14,55
2017-11-30,11,<1,3,16,55
2017-12-01,18,<1,3,14,58
2017-12-02,20,<1,3,15,61
2017-12-03,17,<1,2,14,63
2017-12-04,17,<1,2,12,60
2017-12-05,17,<1,2,14,61
2017-12-06,21,<1,2,12,63
2017-12-07,21,<1,2,15,59
2017-12-08,18,1,2,14,58
2017-12-09,17,1,2,18,64
2017-12-10,14,<1,2,16,67
2017-12-11,15,<1,2,11,65
2017-12-12,17,1,2,13,61
2017-12-13,24,1,2,14,61
2017-12-14,15,<1,2,14,62
2017-12-15,14,<1,2,17,64
2017-12-16,14,<1,2,18,70
2017-12-17,13,<1,2,17,70
2017-12-18,13,<1,2,12,66
2017-12-19,13,1,2,18,66
2017-12-20,16,1,2,14,67
2017-12-21,17,<1,2,18,63
2017-12-22,16,1,2,17,59
2017-12-23,15,1,3,19,54
2017-12-24,14,1,3,17,50
2017-12-25,14,1,2,30,62
2017-12-26,12,1,2,20,67
2017-12-27,12,1,3,16,63
2017-12-28,12,1,2,18,57
2017-12-29,15,<1,2,17,55
2017-12-30,13,1,2,17,54
2017-12-31,11,1,2,17,49
2018-01-01,12,1,2,14,48
2018-01-02,11,<1,2,18,51
2018-01-03,20,<1,3,18,51
2018-01-04,19,1,3,19,50
2018-01-05,18,1,2,16,50
2018-01-06,20,1,2,18,52
2018-01-07,17,1,2,16,53
2018-01-08,18,1,2,13,48
2018-01-09,22,6,2,13,46
2018-01-10,16,1,2,13,47
2018-01-11,17,1,2,17,47
2018-01-12,40,1,2,16,46
2018-01-13,29,1,2,18,49
2018-01-14,20,1,2,16,51
2018-01-15,17,1,2,16,47
2018-01-16,18,<1,2,19,44
2018-01-17,20,<1,2,14,47
2018-01-18,19,<1,2,17,51
2018-01-19,17,<1,2,18,47
2018-01-20,25,1,2,22,48
2018-01-21,21,<1,2,22,49
2018-01-22,16,1,2,12,47
2018-01-23,15,1,3,15,44
2018-01-24,15,1,3,22,45
2018-01-25,15,1,2,17,44
2018-01-26,17,1,2,20,44
2018-01-27,14,1,2,21,45
2018-01-28,15,1,2,24,50
2018-01-29,15,7,2,14,44
2018-01-30,16,2,2,18,46
2018-01-31,33,1,2,19,44
2018-02-01,18,1,2,18,47
2018-02-02,17,1,2,17,44
2018-02-03,14,1,2,20,48
2018-02-04,13,1,2,22,47
2018-02-05,15,1,2,11,41
2018-02-06,16,1,5,16,45
2018-02-07,15,1,9,22,45
2018-02-08,16,1,7,34,44
2018-02-09,14,1,5,23,44
2018-02-10,15,1,4,23,47
2018-02-11,13,1,4,26,48
2018-02-12,13,1,3,16,44
2018-02-13,13,1,3,16,42
2018-02-14,16,1,3,18,38
2018-02-15,16,1,2,18,40
2018-02-16,17,1,2,16,39
2018-02-17,17,1,2,21,42
2018-02-18,16,1,2,24,46
2018-02-19,16,1,2,30,44
2018-02-20,15,1,2,10,41
2018-02-21,14,1,2,9,41
2018-02-22,15,1,2,10,43
2018-02-23,14,1,2,15,45
2018-02-24,13,1,2,18,49
2018-02-25,12,1,2,25,49
2018-02-26,12,1,2,16,45
2018-02-27,14,1,2,16,44
2018-02-28,13,1,2,16,43
2018-03-01,15,1,2,16,46
2018-03-02,15,1,2,16,46
2018-03-03,14,1,2,17,47
2018-03-04,13,1,2,22,49
2018-03-05,13,1,2,14,44
2018-03-06,13,1,2,15,44
2018-03-07,14,1,2,17,44
2018-03-08,14,1,2,17,44
2018-03-09,14,1,2,16,43
2018-03-10,12,1,2,20,47
2018-03-11,14,1,2,20,47
2018-03-12,12,<1,2,15,45
2018-03-13,17,1,2,14,44
2018-03-14,16,<1,2,16,43
2018-03-15,15,<1,2,15,41
2018-03-16,15,<1,2,16,42
2018-03-17,15,1,2,16,43
2018-03-18,15,1,2,20,46
2018-03-19,14,<1,2,13,44
2018-03-20,15,<1,2,16,41
2018-03-21,15,<1,2,16,46
2018-03-22,18,<1,2,16,42
2018-03-23,19,1,2,14,41
2018-03-24,16,1,2,19,44
2018-03-25,16,1,2,20,48
2018-03-26,18,<1,2,17,43
2018-03-27,14,<1,3,15,43
2018-03-28,15,<1,4,18,45
2018-03-29,13,<1,4,15,45
2018-03-30,12,<1,3,16,41
2018-03-31,11,<1,3,18,40
2018-04-01,13,1,3,22,43
2018-04-02,14,<1,4,16,45
2018-04-03,14,<1,3,14,45
2018-04-04,13,<1,3,20,40
2018-04-05,12,<1,3,17,40
2018-04-06,13,<1,2,19,42
2018-04-07,11,<1,2,23,44
2018-04-08,12,<1,2,25,44
2018-04-09,13,<1,2,17,43
2018-04-10,19,<1,2,24,42
2018-04-11,18,<1,2,22,42
2018-04-12,17,<1,3,35,41
2018-04-13,18,<1,2,15,41
2018-04-14,27,1,2,35,41
2018-04-15,16,<1,2,54,46
2018-04-16,17,1,2,31,43
2018-04-17,15,3,3,33,43
2018-04-18,15,1,3,34,42
2018-04-19,14,1,2,32,42
2018-04-20,14,1,2,31,40
2018-04-21,14,1,2,46,43
2018-04-22,13,1,2,54,46
2018-04-23,13,1,2,33,43
