"date","country","keyword","hits"
2017-11-14,"DE","iPhone",57
2017-11-14,"DE","Tesla",4
2017-11-14,"DE","Rolex",3
2017-11-14,"FR","iPhone",41
2017-11-14,"FR","Tesla",2
2017-11-14,"FR","Rolex",1
2017-11-14,"JP","iPhone",76
2017-11-14,"JP","Tesla",1
2017-11-14,"JP","Rolex",2
2017-11-14,"MX","iPhone",69
2017-11-14,"MX","Tesla",0
2017-11-14,"MX","Rolex",0
2017-11-14,"US","iPhone",63
2017-11-14,"US","Tesla",4
2017-11-14,"US","Rolex",2
2017-11-15,"DE","iPhone",61
2017-11-15,"DE","Tesla",5
2017-11-15,"DE","Rolex",3
2017-11-15,"FR","iPhone",42
2017-11-15,"FR","Tesla",2
2017-11-15,"FR","Rolex",1
2017-11-15,"JP","iPhone",71
2017-11-15,"JP","Tesla",1
2017-11-15,"JP","Rolex",2
2017-11-15,"MX","iPhone",70
2017-11-15,"MX","Tesla",3
2017-11-15,"MX","Rolex",0
2017-11-15,"US","iPhone",65
2017-11-15,"US","Tesla",4
2017-11-15,"US","Rolex",2
2017-11-16,"DE","iPhone",62
2017-11-16,"DE","Tesla",6
2017-11-16,"DE","Rolex",3
2017-11-16,"FR","iPhone",42
2017-11-16,"FR","Tesla",2
2017-11-16,"FR","Rolex",1
2017-11-16,"JP","iPhone",70
2017-11-16,"JP","Tesla",1
2017-11-16,"JP","Rolex",2
2017-11-16,"MX","iPhone",66
2017-11-16,"MX","Tesla",0
2017-11-16,"MX","Rolex",0
2017-11-16,"US","iPhone",67
2017-11-16,"US","Tesla",6
2017-11-16,"US","Rolex",2
2017-11-17,"DE","iPhone",63
2017-11-17,"DE","Tesla",22
2017-11-17,"DE","Rolex",3
2017-11-17,"FR","iPhone",43
2017-11-17,"FR","Tesla",10
2017-11-17,"FR","Rolex",2
2017-11-17,"JP","iPhone",64
2017-11-17,"JP","Tesla",2
2017-11-17,"JP","Rolex",2
2017-11-17,"MX","iPhone",77
2017-11-17,"MX","Tesla",8
2017-11-17,"MX","Rolex",0
2017-11-17,"US","iPhone",62
2017-11-17,"US","Tesla",31
2017-11-17,"US","Rolex",2
2017-11-18,"DE","iPhone",73
2017-11-18,"DE","Tesla",11
2017-11-18,"DE","Rolex",3
2017-11-18,"FR","iPhone",53
2017-11-18,"FR","Tesla",5
2017-11-18,"FR","Rolex",2
2017-11-18,"JP","iPhone",77
2017-11-18,"JP","Tesla",2
2017-11-18,"JP","Rolex",2
2017-11-18,"MX","iPhone",91
2017-11-18,"MX","Tesla",4
2017-11-18,"MX","Rolex",0
2017-11-18,"US","iPhone",73
2017-11-18,"US","Tesla",19
2017-11-18,"US","Rolex",2
2017-11-19,"DE","iPhone",73
2017-11-19,"DE","Tesla",7
2017-11-19,"DE","Rolex",3
2017-11-19,"FR","iPhone",50
2017-11-19,"FR","Tesla",4
2017-11-19,"FR","Rolex",2
2017-11-19,"JP","iPhone",82
2017-11-19,"JP","Tesla",1
2017-11-19,"JP","Rolex",2
2017-11-19,"MX","iPhone",100
2017-11-19,"MX","Tesla",0
2017-11-19,"MX","Rolex",0
2017-11-19,"US","iPhone",70
2017-11-19,"US","Tesla",11
2017-11-19,"US","Rolex",2
2017-11-20,"DE","iPhone",60
2017-11-20,"DE","Tesla",7
2017-11-20,"DE","Rolex",2
2017-11-20,"FR","iPhone",42
2017-11-20,"FR","Tesla",4
2017-11-20,"FR","Rolex",1
2017-11-20,"JP","iPhone",68
2017-11-20,"JP","Tesla",1
2017-11-20,"JP","Rolex",2
2017-11-20,"MX","iPhone",92
2017-11-20,"MX","Tesla",7
2017-11-20,"MX","Rolex",0
2017-11-20,"US","iPhone",65
2017-11-20,"US","Tesla",11
2017-11-20,"US","Rolex",2
2017-11-21,"DE","iPhone",59
2017-11-21,"DE","Tesla",7
2017-11-21,"DE","Rolex",3
2017-11-21,"FR","iPhone",44
2017-11-21,"FR","Tesla",4
2017-11-21,"FR","Rolex",1
2017-11-21,"JP","iPhone",75
2017-11-21,"JP","Tesla",1
2017-11-21,"JP","Rolex",2
2017-11-21,"MX","iPhone",79
2017-11-21,"MX","Tesla",5
